entry_date,exit_date,dias,entry_price,exit_price,stop_inicial,shares,pnl,pnl_pct,saida,equity_pos
2022-07-27,2022-08-31,35,11.27,11.49,10.66,1626.24,354.91,1.94,trailing,99729.64
2022-11-04,2022-11-16,12,12.38,11.62,11.77,1611.21,-1224.65,-6.14,stop,98504.99
2023-03-14,2023-04-24,41,11.05,11.36,10.55,1782.70,550.78,2.80,trailing,99055.77
2023-06-22,2023-07-04,12,12.32,11.99,11.86,1608.21,-522.35,-2.64,trailing,98533.42
2023-11-14,2023-11-29,15,10.85,10.54,10.44,1815.76,-575.38,-2.92,trailing,97958.04
2025-09-16,2025-09-24,8,11.39,11.09,11.02,1720.70,-508.67,-2.60,trailing,97449.37
2025-11-05,2025-12-05,30,11.81,12.19,11.35,1650.72,635.86,3.26,trailing,98085.23
2018-10-02,2018-11-08,37,4.00,4.65,3.65,2873.51,1859.50,16.18,trailing,101859.50
2019-01-30,2019-02-06,7,5.83,5.46,5.41,2417.48,-896.92,-6.36,trailing,100962.58
2019-07-08,2019-08-13,36,5.80,6.11,5.50,3364.52,1045.44,5.36,trailing,102008.03
2019-11-27,2020-02-10,75,6.69,10.34,6.30,2618.56,9560.43,54.56,trailing,111568.46
