variacao,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,mrs,rsv
BASE,PCAR3,2025-07-17,2025-07-18,2025-08-01,10,3.74,3.49,-6.68,-0.56,-6.12,time_stop,7,21.41,299.27
BASE,PCAR3,2025-08-25,2025-08-26,2025-09-02,5,3.53,3.71,5.00,1.80,3.20,take_profit,8,11.04,284.87
BASE,PETR3,2022-07-29,2022-08-01,2022-08-08,5,16.07,16.87,5.00,6.33,-1.33,take_profit,7,35.64,235.85
BASE,PETR3,2022-08-12,2022-08-15,2022-08-17,2,17.82,18.71,5.00,0.94,4.06,take_profit,8,37.30,140.45
BASE,PETR3,2022-10-03,2022-10-04,2022-10-19,10,19.35,20.32,5.00,0.00,5.00,take_profit,7,23.53,51.01
BASE,PETR3,2023-06-14,2023-06-15,2023-06-21,4,23.43,24.61,5.00,0.75,4.25,take_profit,6,22.18,15.00
BASE,PETR3,2023-10-18,2023-10-19,2023-11-03,10,29.90,27.82,-6.97,3.75,-10.72,time_stop,7,42.48,123.95
BASE,PETR3,2024-08-26,2024-08-27,2024-09-10,10,35.82,34.36,-4.07,-1.79,-2.28,time_stop,8,8.60,325.68
BASE,PETR3,2024-11-22,2024-11-25,2024-12-09,10,36.32,36.41,0.23,-1.52,1.75,time_stop,8,11.02,18.20
BASE,PETR3,2025-02-18,2025-02-19,2025-03-07,10,37.70,33.82,-10.29,-1.66,-8.62,time_stop,8,9.92,143.68
BASE,PETR3,2026-01-14,2026-01-15,2026-01-21,4,33.88,35.57,5.00,3.94,1.06,take_profit,5,-8.75,107.20
BASE,PETR3,2026-01-21,2026-01-22,2026-01-26,2,35.96,37.76,5.00,1.48,3.52,take_profit,5,-7.04,155.79
BASE,PETR4,2022-07-28,2022-07-29,2022-08-08,6,14.47,15.20,5.00,5.54,-0.54,take_profit,8,29.90,78.06
BASE,PETR4,2022-08-12,2022-08-15,2022-08-17,2,16.33,17.15,5.00,0.94,4.06,take_profit,8,38.41,88.67
BASE,PETR4,2022-10-03,2022-10-04,2022-10-19,10,17.40,18.27,5.00,0.00,5.00,take_profit,7,22.99,42.49
BASE,PETR4,2023-05-11,2023-05-12,2023-05-26,10,16.31,17.08,4.77,2.34,2.43,time_stop,7,8.04,55.94
BASE,PETR4,2024-11-22,2024-11-25,2024-12-09,10,32.76,33.31,1.68,-1.52,3.20,time_stop,8,7.87,51.99
BASE,PETR4,2025-11-07,2025-11-10,2025-11-25,10,31.31,31.29,-0.06,0.47,-0.53,time_stop,5,-9.85,282.88
BASE,PETR4,2026-01-14,2026-01-15,2026-01-21,4,31.50,33.08,5.00,3.94,1.06,take_profit,5,-8.18,58.52
BASE,PETR4,2026-01-21,2026-01-22,2026-01-26,2,33.38,35.05,5.00,1.48,3.52,take_profit,5,-7.20,106.34
BASE,PETR4,2026-03-02,2026-03-03,2026-03-11,6,41.70,43.79,5.00,0.51,4.49,take_profit,6,4.95,114.58
BASE,RECV3,2022-11-04,2022-11-07,2022-11-22,10,24.65,20.77,-15.78,-5.53,-10.25,time_stop,7,35.33,140.32
BASE,RECV3,2022-12-29,2023-01-02,2023-01-16,10,22.85,22.93,0.34,2.77,-2.43,time_stop,7,25.74,176.31
BASE,RECV3,2024-01-18,2024-01-19,2024-02-02,10,16.73,16.16,-3.43,-0.21,-3.22,time_stop,7,5.06,261.86
BASE,PRIO3,2022-04-28,2022-04-29,2022-05-13,10,26.51,27.05,2.03,-0.11,2.14,time_stop,8,19.21,155.13
BASE,PRIO3,2022-10-04,2022-10-05,2022-10-07,2,30.24,31.75,5.00,-0.48,5.48,take_profit,8,14.62,9.08
BASE,PRIO3,2023-04-04,2023-04-05,2023-04-11,3,33.45,35.12,5.00,5.41,-0.41,take_profit,6,13.58,308.16
BASE,PRIO3,2024-03-13,2024-03-14,2024-03-28,10,48.97,48.74,-0.47,0.41,-0.88,time_stop,6,4.46,81.00
BASE,PSSA3,2022-08-08,2022-08-09,2022-08-23,10,17.95,17.72,-1.31,3.86,-5.17,time_stop,6,4.85,55.61
BASE,PSSA3,2022-11-03,2022-11-04,2022-11-21,10,21.50,19.45,-9.54,-6.95,-2.59,time_stop,8,17.19,179.92
BASE,PSSA3,2023-01-30,2023-01-31,2023-02-10,8,21.63,22.71,5.00,-4.63,9.63,take_profit,8,15.47,401.26
BASE,PSSA3,2023-02-10,2023-02-13,2023-03-01,10,23.29,22.69,-2.57,-4.05,1.47,time_stop,8,26.41,257.22
BASE,PSSA3,2023-11-07,2023-11-08,2023-11-23,10,24.17,24.99,3.41,6.37,-2.96,time_stop,6,-0.39,95.55
BASE,PSSA3,2024-02-28,2024-02-29,2024-03-07,5,26.60,27.93,5.00,-0.46,5.46,take_profit,7,2.34,360.73
BASE,PSSA3,2024-05-15,2024-05-16,2024-05-31,10,28.71,28.03,-2.38,-4.73,2.35,time_stop,8,10.20,198.01
BASE,PSSA3,2024-11-12,2024-11-13,2024-11-29,10,36.62,35.35,-3.49,-1.62,-1.88,time_stop,8,25.34,225.22
BASE,PSSA3,2025-03-19,2025-03-20,2025-04-03,10,39.28,39.78,1.27,-0.58,1.86,time_stop,8,13.08,38.72
