combo,time_stop,score_limiar,ticker,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score_entrada,score_saida
T5_SX,5,X,VAMO3,2022-11-01,2022-11-09,5,13.70,13.14,-4.12,-2.71,-1.41,time_stop,8,7
T5_SX,5,X,VAMO3,2024-07-05,2024-07-10,3,7.99,8.39,5.00,0.65,4.35,take_profit,6,6
T5_SX,5,X,VBBR3,2022-02-17,2022-02-24,5,17.98,17.30,-3.80,-1.48,-2.32,time_stop,7,2
T5_SX,5,X,VBBR3,2023-08-17,2023-08-24,5,14.03,14.36,2.37,1.74,0.63,time_stop,7,6
T5_SX,5,X,VBBR3,2023-11-08,2023-11-16,5,17.10,17.16,0.37,4.71,-4.34,time_stop,7,7
T5_SX,5,X,VBBR3,2024-11-07,2024-11-14,5,19.66,18.93,-3.69,-1.42,-2.27,time_stop,5,5
T5_SX,5,X,VBBR3,2025-08-29,2025-09-05,5,21.97,22.58,2.76,0.83,1.93,time_stop,7,7
T5_SX,5,X,VBBR3,2026-02-06,2026-02-13,5,30.99,31.73,2.39,2.09,0.30,time_stop,8,7
T5_SX,5,X,VIVA3,2023-05-15,2023-05-18,3,21.43,22.50,5.00,1.21,3.79,take_profit,6,4
T5_SX,5,X,VIVA3,2025-05-16,2025-05-23,5,23.64,24.10,1.95,-1.20,3.15,time_stop,6,6
T5_SX,5,X,WEGE3,2022-10-03,2022-10-10,5,29.59,31.07,5.00,-0.28,5.28,take_profit,7,5
T5_SX,5,X,WEGE3,2022-10-27,2022-10-31,2,34.62,36.35,5.00,1.95,3.05,take_profit,6,4
T5_SX,5,X,WEGE3,2024-08-01,2024-08-08,5,47.66,46.98,-1.43,1.26,-2.69,time_stop,7,5
T5_SX,5,X,WEGE3,2026-01-27,2026-02-03,5,52.00,54.00,3.85,2.22,1.63,time_stop,5,5
T5_SX,5,X,YDUQ3,2023-05-11,2023-05-12,1,10.04,10.54,5.00,0.22,4.78,take_profit,7,7
T5_SX,5,X,YDUQ3,2023-06-22,2023-06-29,5,17.89,17.49,-2.24,-0.30,-1.94,time_stop,7,5
T5_SX,5,X,YDUQ3,2023-08-14,2023-08-21,5,21.36,19.21,-10.07,-2.22,-7.85,time_stop,7,5
T5_SX,5,X,YDUQ3,2025-03-19,2025-03-26,5,10.99,10.61,-3.42,-0.28,-3.14,time_stop,7,6
T5_SX,5,X,YDUQ3,2025-04-22,2025-04-29,5,13.56,13.65,0.69,3.56,-2.87,time_stop,6,6
