combo,time_stop,score_limiar,ticker,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score_entrada,score_saida
T7_S4,7,4,BBSE3,2025-01-16,2025-01-27,7,30.91,31.96,3.40,2.99,0.41,time_stop,8,7
T7_S3,7,3,BBSE3,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,7
T7_S3,7,3,BBSE3,2022-06-01,2022-06-10,7,18.00,16.46,-8.52,-5.26,-3.26,time_stop,8,4
T7_S3,7,3,BBSE3,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit,8,7
T7_S3,7,3,BBSE3,2022-09-19,2022-09-28,7,20.36,18.98,-6.77,-3.14,-3.63,time_stop,8,6
T7_S3,7,3,BBSE3,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit,8,7
T7_S3,7,3,BBSE3,2025-01-16,2025-01-27,7,30.91,31.96,3.40,2.99,0.41,time_stop,8,7
T10_SX,10,X,BBSE3,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,7
T10_SX,10,X,BBSE3,2022-06-01,2022-06-15,10,18.00,16.67,-7.36,-7.53,0.17,time_stop,8,4
T10_SX,10,X,BBSE3,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit,8,7
T10_SX,10,X,BBSE3,2022-09-19,2022-10-03,10,20.36,18.96,-6.88,3.86,-10.74,time_stop,8,5
T10_SX,10,X,BBSE3,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit,8,7
T10_SX,10,X,BBSE3,2025-01-16,2025-01-30,10,30.91,31.97,3.46,4.75,-1.29,time_stop,8,6
T10_S4,10,4,BBSE3,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,7
T10_S4,10,4,BBSE3,2022-06-01,2022-06-15,10,18.00,16.67,-7.36,-7.53,0.17,time_stop,8,4
T10_S4,10,4,BBSE3,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit,8,7
T10_S4,10,4,BBSE3,2022-09-19,2022-10-03,10,20.36,18.96,-6.88,3.86,-10.74,time_stop,8,5
T10_S4,10,4,BBSE3,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit,8,7
T10_S4,10,4,BBSE3,2025-01-16,2025-01-30,10,30.91,31.97,3.46,4.75,-1.29,time_stop,8,6
T10_S3,10,3,BBSE3,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,7
T10_S3,10,3,BBSE3,2022-06-01,2022-06-15,10,18.00,16.67,-7.36,-7.53,0.17,time_stop,8,4
T10_S3,10,3,BBSE3,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit,8,7
T10_S3,10,3,BBSE3,2022-09-19,2022-10-03,10,20.36,18.96,-6.88,3.86,-10.74,time_stop,8,5
T10_S3,10,3,BBSE3,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit,8,7
T10_S3,10,3,BBSE3,2025-01-16,2025-01-30,10,30.91,31.97,3.46,4.75,-1.29,time_stop,8,6
T15_SX,15,X,BBSE3,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,7
T15_SX,15,X,BBSE3,2022-06-01,2022-06-23,15,18.00,16.81,-6.58,-11.92,5.34,time_stop,8,5
T15_SX,15,X,BBSE3,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit,8,7
T15_SX,15,X,BBSE3,2022-09-19,2022-10-10,15,20.36,19.56,-3.91,3.57,-7.48,time_stop,8,5
T15_SX,15,X,BBSE3,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit,8,7
T15_SX,15,X,BBSE3,2025-01-16,2025-02-05,14,30.91,32.45,5.00,3.41,1.59,take_profit,8,8
T15_S4,15,4,BBSE3,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,7
T15_S4,15,4,BBSE3,2022-06-01,2022-06-23,15,18.00,16.81,-6.58,-11.92,5.34,time_stop,8,5
T15_S4,15,4,BBSE3,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit,8,7
T15_S4,15,4,BBSE3,2022-09-19,2022-10-05,12,20.36,19.11,-6.16,4.71,-10.87,score_exit_4,8,3
T15_S4,15,4,BBSE3,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit,8,7
T15_S4,15,4,BBSE3,2025-01-16,2025-02-05,14,30.91,32.45,5.00,3.41,1.59,take_profit,8,8
T15_S3,15,3,BBSE3,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,7
T15_S3,15,3,BBSE3,2022-06-01,2022-06-23,15,18.00,16.81,-6.58,-11.92,5.34,time_stop,8,5
T15_S3,15,3,BBSE3,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit,8,7
T15_S3,15,3,BBSE3,2022-09-19,2022-10-10,15,20.36,19.56,-3.91,3.57,-7.48,time_stop,8,5
T15_S3,15,3,BBSE3,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit,8,7
T15_S3,15,3,BBSE3,2025-01-16,2025-02-05,14,30.91,32.45,5.00,3.41,1.59,take_profit,8,8
T5_SX,5,X,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T5_SX,5,X,BBDC3,2025-05-09,2025-05-16,5,12.44,12.58,1.20,2.15,-0.95,time_stop,7,7
T5_SX,5,X,BBDC3,2025-05-29,2025-06-05,5,13.05,12.87,-1.38,-1.56,0.18,time_stop,8,6
T5_SX,5,X,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T5_S4,5,4,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T5_S4,5,4,BBDC3,2025-05-09,2025-05-16,5,12.44,12.58,1.20,2.15,-0.95,time_stop,7,7
T5_S4,5,4,BBDC3,2025-05-29,2025-06-05,5,13.05,12.87,-1.38,-1.56,0.18,time_stop,8,6
T5_S4,5,4,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T5_S3,5,3,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T5_S3,5,3,BBDC3,2025-05-09,2025-05-16,5,12.44,12.58,1.20,2.15,-0.95,time_stop,7,7
T5_S3,5,3,BBDC3,2025-05-29,2025-06-05,5,13.05,12.87,-1.38,-1.56,0.18,time_stop,8,6
T5_S3,5,3,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T7_SX,7,X,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T7_SX,7,X,BBDC3,2025-05-09,2025-05-20,7,12.44,12.78,2.77,2.70,0.07,time_stop,7,7
T7_SX,7,X,BBDC3,2025-05-29,2025-06-09,7,13.05,12.78,-2.09,-1.94,-0.15,time_stop,8,5
T7_SX,7,X,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T7_S4,7,4,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T7_S4,7,4,BBDC3,2025-05-09,2025-05-20,7,12.44,12.78,2.77,2.70,0.07,time_stop,7,7
T7_S4,7,4,BBDC3,2025-05-29,2025-06-09,7,13.05,12.78,-2.09,-1.94,-0.15,time_stop,8,5
T7_S4,7,4,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T7_S3,7,3,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T7_S3,7,3,BBDC3,2025-05-09,2025-05-20,7,12.44,12.78,2.77,2.70,0.07,time_stop,7,7
T7_S3,7,3,BBDC3,2025-05-29,2025-06-09,7,13.05,12.78,-2.09,-1.94,-0.15,time_stop,8,5
T7_S3,7,3,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T10_SX,10,X,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T10_SX,10,X,BBDC3,2025-05-09,2025-05-23,10,12.44,12.61,1.42,0.92,0.50,time_stop,7,7
T10_SX,10,X,BBDC3,2025-05-29,2025-06-12,10,13.05,13.33,2.13,-0.52,2.65,time_stop,8,5
T10_SX,10,X,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T10_S4,10,4,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T10_S4,10,4,BBDC3,2025-05-09,2025-05-23,10,12.44,12.61,1.42,0.92,0.50,time_stop,7,7
T10_S4,10,4,BBDC3,2025-05-29,2025-06-12,10,13.05,13.33,2.13,-0.52,2.65,time_stop,8,5
T10_S4,10,4,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T10_S3,10,3,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T10_S3,10,3,BBDC3,2025-05-09,2025-05-23,10,12.44,12.61,1.42,0.92,0.50,time_stop,7,7
T10_S3,10,3,BBDC3,2025-05-29,2025-06-12,10,13.05,13.33,2.13,-0.52,2.65,time_stop,8,5
T10_S3,10,3,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T15_SX,15,X,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T15_SX,15,X,BBDC3,2025-05-09,2025-05-28,13,12.44,13.06,5.00,1.85,3.15,take_profit,7,7
T15_SX,15,X,BBDC3,2025-05-29,2025-06-20,15,13.05,13.34,2.20,-1.08,3.28,time_stop,8,6
T15_SX,15,X,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T15_S4,15,4,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T15_S4,15,4,BBDC3,2025-05-09,2025-05-28,13,12.44,13.06,5.00,1.85,3.15,take_profit,7,7
