time_stop,combo,ticker,data_entrada,data_saida,dias,mrs_entrada,cruzamentos,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo
7,TS7d,VIVT3,2024-05-29,2024-06-10,7,-4.160,3,20.630,20.260,-1.793,-1.486,-0.307,time_stop
7,TS7d,VIVT3,2025-12-19,2026-01-05,7,-4.059,3,32.710,33.010,0.912,2.073,-1.161,time_stop
10,TS10d,VIVT3,2024-05-09,2024-05-23,10,-4.671,3,21.200,20.960,-1.099,-2.747,1.648,time_stop
10,TS10d,VIVT3,2024-05-29,2024-06-13,10,-4.160,3,20.630,20.110,-2.545,-2.468,-0.077,time_stop
10,TS10d,VIVT3,2025-12-19,2026-01-08,10,-4.059,3,32.710,33.090,1.156,2.769,-1.613,time_stop
5,TS5d,TEND3,2023-04-05,2023-04-12,4,-4.569,4,4.300,4.510,5.000,5.859,-0.859,take_profit
5,TS5d,TEND3,2024-04-23,2024-04-26,3,-4.947,8,11.070,11.620,5.000,1.170,3.830,take_profit
5,TS5d,TEND3,2024-05-24,2024-06-03,5,-4.165,9,11.120,10.680,-3.882,-1.824,-2.058,time_stop
5,TS5d,TEND3,2024-06-05,2024-06-12,5,-4.687,8,10.660,10.640,-0.176,-1.221,1.045,time_stop
5,TS5d,TEND3,2024-06-14,2024-06-21,5,-4.279,6,10.570,9.960,-5.768,1.549,-7.317,time_stop
5,TS5d,TEND3,2026-01-14,2026-01-21,5,-4.136,7,23.940,24.370,1.796,4.136,-2.340,time_stop
7,TS7d,TEND3,2023-04-05,2023-04-12,4,-4.569,4,4.300,4.510,5.000,5.859,-0.859,take_profit
7,TS7d,TEND3,2024-04-23,2024-04-26,3,-4.947,8,11.070,11.620,5.000,1.170,3.830,take_profit
7,TS7d,TEND3,2024-05-24,2024-06-05,7,-4.165,9,11.120,10.710,-3.629,-2.271,-1.358,time_stop
7,TS7d,TEND3,2024-06-06,2024-06-17,7,-4.398,8,10.660,10.400,-2.377,-3.065,0.688,time_stop
7,TS7d,TEND3,2024-06-18,2024-06-27,7,-4.733,5,10.360,10.340,-0.271,4.030,-4.301,time_stop
7,TS7d,TEND3,2026-01-14,2026-01-23,7,-4.136,7,23.940,24.680,3.091,8.296,-5.205,time_stop
10,TS10d,TEND3,2023-04-05,2023-04-12,4,-4.569,4,4.300,4.510,5.000,5.859,-0.859,take_profit
10,TS10d,TEND3,2024-04-23,2024-04-26,3,-4.947,8,11.070,11.620,5.000,1.170,3.830,take_profit
10,TS10d,TEND3,2024-05-24,2024-06-10,10,-4.165,9,11.120,10.400,-6.414,-2.727,-3.687,time_stop
10,TS10d,TEND3,2024-06-14,2024-06-28,10,-4.279,6,10.570,10.080,-4.614,3.579,-8.193,time_stop
10,TS10d,TEND3,2026-01-14,2026-01-26,8,-4.136,7,23.940,25.140,5.000,8.050,-3.050,take_profit
5,TS5d,TIMS3,2023-01-09,2023-01-16,5,-4.994,5,8.660,8.510,-1.676,0.114,-1.790,time_stop
5,TS5d,TIMS3,2024-07-05,2024-07-12,5,-4.117,5,13.730,14.410,5.000,2.037,2.963,take_profit
5,TS5d,TIMS3,2024-10-31,2024-11-07,5,-4.665,5,14.280,13.920,-2.545,-0.158,-2.387,time_stop
5,TS5d,TIMS3,2024-11-21,2024-11-28,5,-4.282,3,13.920,13.460,-3.296,-1.861,-1.435,time_stop
5,TS5d,TIMS3,2026-01-13,2026-01-20,5,-4.809,3,22.440,23.560,5.000,2.420,2.580,take_profit
5,TS5d,TIMS3,2026-01-22,2026-01-29,5,-4.196,4,24.070,24.930,3.573,4.000,-0.427,time_stop
7,TS7d,TIMS3,2023-01-09,2023-01-18,7,-4.994,5,8.660,8.450,-2.347,2.829,-5.176,time_stop
7,TS7d,TIMS3,2024-07-05,2024-07-12,5,-4.117,5,13.730,14.410,5.000,2.037,2.963,take_profit
7,TS7d,TIMS3,2024-10-31,2024-11-11,7,-4.665,5,14.280,14.370,0.667,-1.513,2.180,time_stop
7,TS7d,TIMS3,2024-11-21,2024-12-02,7,-4.282,3,13.920,13.530,-2.799,-1.392,-1.407,time_stop
7,TS7d,TIMS3,2026-01-13,2026-01-20,5,-4.809,3,22.440,23.560,5.000,2.420,2.580,take_profit
7,TS7d,TIMS3,2026-01-22,2026-02-02,7,-4.196,4,24.070,24.660,2.451,3.740,-1.289,time_stop
10,TS10d,TIMS3,2023-01-09,2023-01-23,10,-4.994,5,8.660,8.430,-2.599,2.421,-5.020,time_stop
10,TS10d,TIMS3,2024-07-05,2024-07-12,5,-4.117,5,13.730,14.410,5.000,2.037,2.963,take_profit
10,TS10d,TIMS3,2024-10-31,2024-11-14,10,-4.665,5,14.280,14.260,-0.121,-1.576,1.455,time_stop
10,TS10d,TIMS3,2024-11-21,2024-12-05,10,-4.282,3,13.920,13.960,0.311,0.736,-0.425,time_stop
