ticker,data_entrada,dias,mrs_entrada,cruzamentos,entrada,pnl_pct,ret_bova,ret_rel,motivo
BPAC11,2022-05-09,1,-4.329,5,19.730,5.000,-0.441,5.441,take_profit
BPAC11,2022-12-09,7,-4.628,7,21.250,-2.036,-0.337,-1.699,time_stop
BPAC11,2022-12-21,2,-4.626,7,20.880,5.000,2.051,2.949,take_profit
BPAC11,2023-01-06,2,-4.496,5,20.900,5.000,1.592,3.408,take_profit
CPLE3,2022-10-05,7,-4.548,5,5.230,-1.426,-3.018,1.592,time_stop
CPLE3,2022-10-19,3,-4.501,5,5.190,5.000,-0.187,5.187,take_profit
CPLE3,2024-04-15,7,-4.342,5,7.420,0.727,-0.477,1.204,time_stop
CPLE3,2024-04-30,2,-4.372,5,7.520,5.000,1.994,3.006,take_profit
CPLE3,2024-05-15,7,-4.264,4,7.640,-1.415,-2.890,1.475,time_stop
CPLE3,2024-11-06,7,-4.047,8,7.790,-0.471,-1.496,1.025,time_stop
CPLE3,2026-01-20,2,-4.107,3,12.280,5.000,6.028,-1.028,take_profit
CSMG3,2022-04-01,5,-4.154,10,9.330,5.000,-2.747,7.747,take_profit
CSMG3,2022-06-07,7,-4.452,7,8.660,-5.984,-9.364,3.380,time_stop
CSMG3,2022-07-06,7,-4.297,6,7.760,0.356,-2.253,2.609,time_stop
CSMG3,2023-10-18,7,-4.297,5,12.830,-4.622,-0.471,-4.151,time_stop
CSMG3,2023-11-03,1,-4.054,5,12.930,5.000,0.052,4.948,take_profit
CURY3,2022-05-20,5,-4.271,6,4.600,5.000,3.096,1.904,take_profit
CURY3,2022-06-13,7,-4.317,3,4.400,0.998,-4.500,5.498,time_stop
CURY3,2026-01-21,4,-4.470,5,32.420,5.000,5.493,-0.493,take_profit
CURY3,2026-01-28,6,-4.548,5,35.030,5.000,-1.516,6.516,take_profit
EGIE3,2023-11-06,7,-4.276,5,26.050,5.000,5.357,-0.357,take_profit
EGIE3,2023-11-20,7,-4.710,3,27.710,-0.323,0.016,-0.339,time_stop
EGIE3,2025-05-12,6,-4.576,4,27.410,5.000,2.586,2.414,take_profit
EGIE3,2025-09-02,7,-4.547,5,27.720,4.239,1.885,2.354,time_stop
ITUB4,2023-01-31,6,-4.231,7,17.360,5.000,-3.186,8.186,take_profit
LWSA3,2023-08-22,1,-4.332,3,6.370,5.000,1.681,3.319,take_profit
LWSA3,2023-08-28,4,-4.283,4,6.260,5.000,0.485,4.515,take_profit
LWSA3,2023-09-13,7,-4.030,6,6.260,-7.906,-1.616,-6.290,time_stop
LWSA3,2025-12-26,7,-4.926,6,3.890,4.612,1.128,3.484,time_stop
LWSA3,2026-01-15,5,-4.099,3,4.120,5.000,6.269,-1.269,take_profit
NEOE3,2022-09-21,7,-4.729,10,13.410,-4.435,-1.572,-2.863,time_stop
NEOE3,2024-05-08,5,-4.230,7,18.000,5.000,-1.209,6.209,take_profit
NEOE3,2024-06-21,7,-4.587,10,16.570,3.321,2.805,0.516,time_stop
NEOE3,2024-07-03,7,-4.767,7,17.080,5.000,2.505,2.495,take_profit
PETR4,2023-01-05,5,-4.531,4,13.210,5.000,3.827,1.173,take_profit
PETR4,2023-01-13,4,-4.570,3,13.830,5.000,1.639,3.361,take_profit
PETR4,2023-02-03,1,-4.847,4,13.890,5.000,0.362,4.638,take_profit
PETR4,2023-03-16,7,-4.931,4,13.240,-0.940,-3.460,2.520,time_stop
PETR4,2023-04-03,5,-4.087,3,13.630,5.000,4.690,0.310,take_profit
PETR4,2025-04-08,7,-4.505,5,30.260,-6.193,4.536,-10.729,time_stop
PSSA3,2023-11-20,7,-4.482,5,24.370,1.838,0.016,1.822,time_stop
PSSA3,2023-12-15,7,-4.687,4,25.300,4.071,3.128,0.943,time_stop
RENT3,2022-03-22,2,-4.345,3,48.570,5.000,1.450,3.550,take_profit
RENT3,2023-03-24,2,-4.220,3,44.870,5.000,2.264,2.736,take_profit
RENT3,2025-10-13,7,-4.538,4,35.750,4.450,2.256,2.194,time_stop
SBSP3,2023-06-15,7,-4.799,4,48.980,1.497,-0.849,2.346,time_stop
SBSP3,2026-01-13,7,-4.199,3,126.500,5.000,8.594,-3.594,take_profit
SBSP3,2026-01-26,7,-4.681,3,139.020,3.244,1.654,1.590,time_stop
SLCE3,2022-08-10,2,-4.863,3,14.250,5.000,1.952,3.048,take_profit
SLCE3,2022-08-17,5,-4.841,3,14.790,5.000,-0.736,5.736,take_profit
SLCE3,2022-09-30,7,-4.965,6,14.320,2.431,4.161,-1.730,time_stop
SLCE3,2023-01-09,4,-4.201,4,14.790,5.000,1.898,3.102,take_profit
SLCE3,2025-06-25,7,-4.733,4,15.170,0.556,4.210,-3.654,time_stop
TOTS3,2022-09-08,4,-4.189,6,26.670,5.000,0.537,4.463,take_profit
TOTS3,2022-12-07,7,-4.969,9,26.590,-9.308,-5.862,-3.446,time_stop
TOTS3,2022-12-20,1,-4.977,7,25.210,5.000,0.309,4.691,take_profit
TOTS3,2023-01-09,1,-4.727,4,26.110,5.000,1.737,3.263,take_profit
TOTS3,2024-02-15,7,-4.139,8,29.350,4.061,1.378,2.683,time_stop
TOTS3,2025-11-24,7,-4.774,7,43.170,2.285,3.971,-1.686,time_stop
