ticker,data,mrs,rsv,atr_ratio,close,variacao,ret_5d,ret_bova_5d,ret_rel_5d,ret_10d,ret_bova_10d,ret_rel_10d,ret_20d,ret_bova_20d,ret_rel_20d,dias_mrs,dias_rsv,mrs_recuo
GOAU4,2025-12-05,6.302,-47.711,0.897,8.340,I,3.687,2.153,1.534,7.431,0.726,6.705,10.549,3.515,7.033,,,4.617
GOAU4,2025-12-09,6.301,-39.554,0.929,8.360,I,6.906,0.395,6.511,8.577,1.863,6.714,11.208,3.623,7.585,,,5.085
GOAU4,2025-12-10,7.650,-3.628,0.963,8.550,I,4.035,-1.058,5.093,6.547,1.167,5.380,10.757,1.968,8.790,,,6.301
HAPV3,2023-08-04,2.819,23.313,1.001,71.400,I,9.874,-1.219,11.093,-2.731,-3.424,0.693,-6.933,-1.392,-5.541,,,-1.404
HAPV3,2023-09-19,6.227,-26.205,0.828,67.500,I,-5.333,-3.024,-2.310,-4.000,-3.751,-0.249,-15.556,-3.269,-12.286,,,3.748
HAPV3,2023-09-22,2.764,0.128,0.862,64.200,I,9.813,0.480,9.334,-5.607,-1.732,-3.876,-6.542,-2.895,-3.647,,,2.167
HAPV3,2023-09-25,5.339,19.451,0.876,65.700,I,4.338,-0.959,5.297,-6.849,-0.737,-6.112,-6.849,-2.070,-4.779,,,2.764
HAPV3,2023-09-27,5.638,27.828,0.937,64.650,I,1.392,-0.470,1.862,-1.856,2.529,-4.386,-9.513,0.632,-10.145,,,4.366
HAPV3,2023-09-28,8.181,66.457,0.957,67.050,I,-6.935,-2.166,-4.769,-10.067,-0.107,-9.960,-16.331,-2.077,-14.254,,,5.638
HAPV3,2023-11-27,5.594,-31.132,0.951,68.400,I,-5.921,0.836,-6.758,-7.237,0.959,-8.196,-5.482,6.323,-11.805,,,2.728
HAPV3,2023-12-13,3.024,-17.943,0.922,67.650,I,-3.769,0.883,-4.652,-1.330,3.723,-5.053,1.109,1.678,-0.570,,,-2.941
HAPV3,2023-12-18,1.938,9.626,0.954,67.650,I,-4.435,1.870,-6.305,-8.869,0.063,-8.932,-11.308,-2.915,-8.393,,,-0.143
HAPV3,2024-01-12,0.306,5.536,0.965,67.950,I,-11.258,-2.664,-8.594,-13.245,-1.690,-11.555,-22.517,-2.437,-20.080,,,-3.619
HAPV3,2024-05-14,2.441,200.452,1.035,66.750,I,0.674,-0.889,1.564,-6.742,-3.710,-3.032,-14.831,-6.690,-8.141,,,-7.058
HAPV3,2024-08-01,3.512,32.433,0.973,63.150,I,6.888,1.261,5.628,4.988,5.455,-0.467,1.900,6.813,-4.912,,,-0.222
