estrategia,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,B,mrs,vol_ratio,contracao
B,CSMG3,2025-09-04,2025-09-05,2025-09-16,7,30.24,31.75,5.00,1.05,3.95,take_profit,8,2,23.28,2.69,0.37
B,CSMG3,2025-10-15,2025-10-16,2025-10-28,8,35.22,36.98,5.00,3.71,1.29,take_profit,7,2,37.22,2.75,0.98
B,CSMG3,2025-12-01,2025-12-02,2025-12-16,10,42.11,41.68,-1.02,-1.78,0.76,time_stop,7,2,36.99,2.36,0.74
B,CSMG3,2025-12-23,2025-12-26,2026-01-13,10,44.18,43.99,-0.43,0.79,-1.22,time_stop,7,2,36.76,3.84,0.56
B,CPLE3,2022-10-24,2022-10-25,2022-11-01,5,5.76,6.05,5.00,2.11,2.89,take_profit,8,2,5.52,2.44,0.79
B,CPLE3,2022-11-01,2022-11-03,2022-11-18,10,6.38,5.52,-13.51,-7.29,-6.21,time_stop,8,2,16.41,4.17,0.61
B,CPLE3,2022-11-21,2022-11-22,2022-12-06,10,6.64,6.07,-8.59,1.59,-10.18,time_stop,7,2,24.91,4.71,0.93
B,CPLE3,2023-04-11,2023-04-12,2023-04-13,1,5.71,5.99,5.00,-0.41,5.41,take_profit,6,2,3.66,2.84,0.62
B,CPLE3,2023-06-09,2023-06-12,2023-06-26,10,6.62,6.73,1.57,0.69,0.88,time_stop,8,2,8.01,3.17,0.90
B,CPLE3,2023-07-26,2023-07-27,2023-08-10,10,7.17,7.24,1.09,-1.32,2.40,time_stop,8,2,8.34,2.56,0.98
B,CPLE3,2023-08-11,2023-08-14,2023-08-28,10,7.44,7.10,-4.65,0.17,-4.81,time_stop,9,2,14.44,5.13,0.40
B,CPLE3,2023-11-06,2023-11-07,2023-11-16,6,7.47,7.84,5.00,4.57,0.43,take_profit,8,2,10.64,2.26,0.72
B,CPLE3,2025-05-08,2025-05-09,2025-05-23,10,10.47,10.72,2.33,0.92,1.40,time_stop,8,2,16.02,2.10,0.42
B,CSAN3,2023-11-03,2023-11-06,2023-11-16,7,16.60,17.43,5.00,5.36,-0.36,take_profit,5,2,-1.69,2.92,0.83
B,CSAN3,2023-12-14,2023-12-15,2024-01-03,10,18.09,18.64,3.04,2.15,0.90,time_stop,5,2,-3.49,2.41,1.00
B,CPFE3,2023-06-16,2023-06-19,2023-06-26,5,31.43,33.00,5.00,-1.47,6.47,take_profit,5,2,-4.81,2.75,0.54
B,CPFE3,2023-09-15,2023-09-18,2023-10-02,10,35.59,33.78,-5.09,-2.76,-2.33,time_stop,8,2,7.34,2.25,0.82
B,CPFE3,2025-02-19,2025-02-20,2025-03-06,8,34.80,36.54,5.00,-3.27,8.27,take_profit,7,2,5.15,3.19,0.89
B,CPFE3,2025-08-08,2025-08-11,2025-08-25,10,39.94,39.28,-1.65,1.97,-3.62,time_stop,8,2,5.54,2.82,0.89
B,CPFE3,2025-11-03,2025-11-04,2025-11-12,6,42.70,44.84,5.00,4.68,0.32,take_profit,7,2,-0.07,2.14,0.37
B,CPFE3,2025-11-12,2025-11-13,2025-11-19,4,45.29,47.55,5.00,-1.36,6.36,take_profit,7,2,1.50,2.08,0.50
B,CPFE3,2026-01-23,2026-01-26,2026-02-09,10,55.49,50.20,-9.53,4.27,-13.81,time_stop,7,2,5.64,2.16,0.96
B,CMIN3,2022-12-09,2022-12-12,2022-12-26,10,2.80,2.82,0.75,3.29,-2.54,time_stop,7,2,8.72,2.48,0.63
B,CMIN3,2023-01-06,2023-01-09,2023-01-10,1,2.97,3.12,5.00,1.74,3.26,take_profit,7,2,16.05,2.00,0.70
B,CMIN3,2023-05-08,2023-05-09,2023-05-17,6,3.43,3.60,5.00,2.13,2.87,take_profit,8,2,26.49,2.36,0.82
B,CMIN3,2023-09-21,2023-09-22,2023-10-06,10,3.61,3.62,0.22,-1.73,1.95,time_stop,7,2,3.75,2.28,0.42
B,CMIN3,2025-03-13,2025-03-14,2025-03-17,1,5.34,5.60,5.00,1.60,3.40,take_profit,7,2,11.08,3.32,0.80
B,CURY3,2022-07-08,2022-07-11,2022-07-15,4,5.25,5.51,5.00,-1.61,6.61,take_profit,7,2,19.07,2.03,0.82
B,CURY3,2022-09-01,2022-09-02,2022-09-05,1,6.79,7.13,5.00,1.27,3.73,take_profit,8,2,30.91,5.65,0.42
B,CURY3,2023-06-01,2023-06-02,2023-06-12,5,10.67,11.20,5.00,4.24,0.76,take_profit,10,2,18.50,2.15,0.27
B,CURY3,2023-06-30,2023-07-03,2023-07-17,10,12.11,11.93,-1.48,-1.06,-0.42,time_stop,7,2,21.26,4.14,0.79
B,CURY3,2024-03-12,2024-03-13,2024-03-27,10,16.00,16.08,0.49,-0.26,0.75,time_stop,8,2,18.71,2.78,0.57
B,CURY3,2024-09-04,2024-09-05,2024-09-19,10,20.68,21.26,2.77,-2.65,5.42,time_stop,7,2,21.41,2.16,0.85
B,CURY3,2024-10-29,2024-10-30,2024-11-13,10,21.60,19.76,-8.51,-2.28,-6.23,time_stop,8,2,22.19,3.05,0.66
B,CURY3,2025-03-18,2025-03-19,2025-04-02,10,21.30,22.36,5.00,-0.54,5.54,take_profit,7,2,10.95,2.69,0.86
B,CURY3,2025-08-06,2025-08-07,2025-08-21,10,29.17,28.75,-1.44,-1.42,-0.03,time_stop,7,2,28.55,2.93,0.82
B,CVCB3,2025-03-24,2025-03-25,2025-03-26,1,2.17,2.28,5.00,0.16,4.84,take_profit,7,2,6.01,2.11,0.56
B,CVCB3,2026-01-09,2026-01-12,2026-01-15,3,2.52,2.65,5.00,1.50,3.50,take_profit,6,2,2.08,2.08,0.52
B,CVCB3,2026-01-15,2026-01-16,2026-01-30,10,2.68,2.62,-2.24,10.29,-12.53,time_stop,7,2,7.91,2.00,0.47
B,CYRE3,2022-08-04,2022-08-05,2022-08-19,10,12.14,11.55,-4.91,4.66,-9.57,time_stop,7,2,6.02,2.67,0.84
B,CYRE3,2022-09-02,2022-09-05,2022-09-20,10,13.44,13.24,-1.52,0.37,-1.89,time_stop,7,2,11.64,3.23,0.92
B,CYRE3,2022-09-28,2022-09-29,2022-09-30,1,13.97,14.67,5.00,2.56,2.44,take_profit,8,2,20.55,2.54,0.47
B,CYRE3,2022-10-03,2022-10-04,2022-10-19,10,16.53,15.02,-9.14,0.00,-9.14,time_stop,6,2,29.19,2.53,0.88
B,CYRE3,2023-07-13,2023-07-14,2023-07-26,8,18.94,19.89,5.00,4.19,0.81,take_profit,6,2,32.73,2.73,0.68
B,CYRE3,2025-08-22,2025-08-25,2025-08-28,3,24.08,25.29,5.00,2.37,2.63,take_profit,8,2,11.17,2.24,0.86
B,CYRE3,2025-09-11,2025-09-12,2025-09-26,10,27.94,28.02,0.30,2.32,-2.02,time_stop,8,2,23.53,2.40,0.38
B,CYRE3,2025-11-07,2025-11-10,2025-11-25,10,31.17,31.96,2.54,0.47,2.07,time_stop,7,2,15.93,2.49,0.60
B,DIRR3,2022-09-02,2022-09-05,2022-09-15,7,3.42,3.60,5.00,-2.16,7.16,take_profit,7,2,25.24,2.29,0.75
B,DIRR3,2022-10-03,2022-10-04,2022-10-19,10,4.24,3.88,-8.36,0.00,-8.36,time_stop,6,2,43.33,2.31,0.73
B,DIRR3,2023-06-30,2023-07-03,2023-07-17,10,4.91,5.00,1.73,-1.06,2.79,time_stop,7,2,16.53,2.95,0.92
B,DIRR3,2023-12-13,2023-12-14,2023-12-28,9,5.42,5.69,5.00,2.77,2.23,take_profit,6,2,3.60,2.46,0.58
B,DIRR3,2024-02-20,2024-02-21,2024-03-06,10,6.02,6.32,5.00,-0.82,5.82,take_profit,8,2,11.71,2.67,0.83
B,ECOR3,2023-03-17,2023-03-20,2023-04-03,10,4.76,4.64,-2.51,0.61,-3.13,time_stop,7,2,5.86,2.72,0.70
B,ECOR3,2023-04-10,2023-04-11,2023-04-12,1,5.18,5.44,5.00,0.43,4.57,take_profit,7,2,17.11,2.11,0.58
B,ECOR3,2023-06-20,2023-06-21,2023-07-05,10,6.70,5.92,-11.68,-0.37,-11.31,time_stop,6,2,27.39,2.51,0.59
B,ECOR3,2023-07-19,2023-07-20,2023-07-21,1,7.01,7.36,5.00,1.80,3.20,take_profit,7,2,35.01,2.16,0.76
B,ECOR3,2023-11-14,2023-11-16,2023-11-30,10,7.63,8.02,5.00,2.16,2.84,take_profit,7,2,15.26,2.10,0.50
B,ECOR3,2025-08-27,2025-08-28,2025-09-04,5,7.74,8.13,5.00,-0.22,5.22,take_profit,7,2,23.51,2.42,0.79
B,ECOR3,2025-11-10,2025-11-11,2025-11-12,1,8.69,9.12,5.00,-0.23,5.23,take_profit,7,2,15.40,2.82,0.65
B,ECOR3,2025-11-12,2025-11-13,2025-11-25,7,9.50,9.97,5.00,-0.73,5.73,take_profit,7,2,24.93,2.86,0.64
