variacao,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,mrs,rsv
H2,ALOS3,2023-06-01,2023-06-02,2023-06-19,10,19.49,20.20,3.61,6.52,-2.91,time_stop,8,22.90,303.13
H2,ALOS3,2023-12-13,2023-12-14,2024-01-02,10,22.54,22.11,-1.90,1.48,-3.39,time_stop,7,4.96,76.54
H2,ALOS3,2025-11-13,2025-11-14,2025-12-01,10,27.22,27.55,1.25,0.75,0.49,time_stop,7,13.43,317.61
H2,ALOS3,2026-01-22,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,3.43,22.07
H2,ABEV3,2022-07-28,2022-07-29,2022-08-12,10,11.39,11.45,0.53,9.41,-8.88,time_stop,7,7.03,223.10
H2,ABEV3,2023-03-28,2023-03-29,2023-04-13,10,11.61,11.56,-0.48,4.44,-4.92,time_stop,7,9.65,221.29
H2,ABEV3,2024-10-01,2024-10-02,2024-10-16,10,11.42,10.79,-5.55,-1.37,-4.18,time_stop,7,5.59,55.43
H2,ABEV3,2024-12-02,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,9.84,126.87
H2,ABEV3,2025-02-26,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,2.11,235.48
H2,ANIM3,2022-10-31,2022-11-01,2022-11-04,2,5.95,6.24,5.00,1.05,3.95,take_profit,7,10.11,172.35
H2,ANIM3,2024-03-01,2024-03-04,2024-03-18,10,4.55,4.26,-6.26,-1.16,-5.10,time_stop,7,28.43,109.90
H2,ANIM3,2025-05-09,2025-05-12,2025-05-19,5,4.15,4.36,5.00,2.27,2.73,take_profit,6,60.58,87.78
H2,ANIM3,2026-01-07,2026-01-08,2026-01-21,9,4.03,4.23,5.00,5.86,-0.86,take_profit,6,0.60,419.61
H2,ANIM3,2026-01-22,2026-01-23,2026-01-27,2,4.95,5.20,5.00,1.44,3.56,take_profit,6,12.19,66.31
H2,ASAI3,2022-07-27,2022-07-28,2022-08-10,9,15.92,16.71,5.00,7.53,-2.53,take_profit,7,19.73,304.74
H2,ASAI3,2025-05-27,2025-05-28,2025-06-11,10,11.20,11.07,-1.15,-1.28,0.14,time_stop,6,38.88,63.33
H2,AURE3,2025-07-23,2025-07-24,2025-08-07,10,9.68,9.92,2.48,2.10,0.38,time_stop,6,3.51,126.31
H2,AXIA3,2022-04-07,2022-04-08,2022-04-13,3,35.03,36.78,5.00,-1.28,6.28,take_profit,7,5.76,286.12
H2,AXIA3,2022-10-21,2022-10-24,2022-11-04,8,42.33,44.45,5.00,1.66,3.34,take_profit,8,8.28,194.98
H2,AXIA3,2025-08-07,2025-08-08,2025-08-11,1,39.86,41.85,5.00,-0.31,5.31,take_profit,8,7.43,116.75
H2,AXIA3,2025-10-17,2025-10-20,2025-11-03,10,52.95,54.51,2.95,4.32,-1.37,time_stop,7,27.37,40.62
H2,AXIA6,2022-04-07,2022-04-08,2022-04-13,3,24.63,25.86,5.00,-1.28,6.28,take_profit,6,3.87,266.70
H2,AXIA6,2022-04-13,2022-04-14,2022-05-02,10,26.40,25.05,-5.10,-8.00,2.89,time_stop,8,13.25,405.93
H2,AXIA6,2022-08-04,2022-08-05,2022-08-19,10,32.54,32.23,-0.95,4.66,-5.61,time_stop,8,38.01,58.98
H2,AXIA6,2022-10-31,2022-11-01,2022-11-17,10,34.48,30.34,-12.03,-6.31,-5.72,time_stop,7,20.55,8.16
H2,AXIA6,2024-02-20,2024-02-21,2024-03-06,10,32.71,32.40,-0.96,-0.82,-0.15,time_stop,8,6.68,30.02
H2,AXIA6,2024-07-31,2024-08-01,2024-08-15,10,30.78,31.48,2.28,5.45,-3.18,time_stop,6,1.13,137.34
H2,AXIA6,2025-08-07,2025-08-08,2025-08-11,1,33.92,35.61,5.00,-0.31,5.31,take_profit,7,3.98,452.34
H2,AXIA6,2025-09-17,2025-09-18,2025-09-29,7,39.65,41.64,5.00,0.65,4.35,take_profit,8,11.57,2.57
H2,AXIA6,2025-10-31,2025-11-03,2025-11-10,5,45.62,47.90,5.00,3.31,1.69,take_profit,8,19.49,69.39
H2,AXIA6,2025-11-14,2025-11-17,2025-11-26,6,49.67,52.15,5.00,1.27,3.73,take_profit,8,22.85,64.20
H2,AXIA6,2026-02-19,2026-02-20,2026-03-06,10,65.98,64.29,-2.56,-5.78,3.22,time_stop,8,24.33,176.42
H2,AZZA3,2022-08-04,2022-08-05,2022-08-19,10,74.04,75.48,1.94,4.66,-2.72,time_stop,8,13.81,80.48
