estrategia,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,B,mrs,vol_ratio,contracao
A,ASAI3,2022-08-25,2022-08-26,2022-09-02,5,17.30,18.17,5.00,-1.17,6.17,take_profit,8,0,16.56,0.68,0.33
A,ASAI3,2022-09-19,2022-09-20,2022-10-04,10,17.55,17.42,-0.77,3.22,-3.98,time_stop,7,0,17.06,0.89,0.38
A,ASAI3,2022-10-04,2022-10-05,2022-10-11,4,17.43,18.30,5.00,-2.14,7.14,take_profit,7,1,11.10,1.81,0.54
A,ASAI3,2022-10-11,2022-10-13,2022-10-27,10,18.18,17.48,-3.87,-0.24,-3.63,time_stop,7,1,17.90,1.18,0.77
A,ASAI3,2022-11-08,2022-11-09,2022-11-24,10,19.13,19.08,-0.25,-1.41,1.16,time_stop,7,0,18.49,0.56,0.33
A,ASAI3,2022-11-24,2022-11-25,2022-12-09,10,19.16,18.57,-3.07,-1.11,-1.95,time_stop,8,0,19.06,0.51,0.23
A,ASAI3,2022-12-26,2022-12-27,2023-01-11,10,19.29,19.07,-1.11,4.00,-5.11,time_stop,7,0,17.28,0.13,0.48
A,ASAI3,2023-01-11,2023-01-12,2023-01-24,8,19.09,20.05,5.00,1.08,3.92,take_profit,7,0,10.20,0.85,0.42
A,ASAI3,2023-01-24,2023-01-25,2023-02-08,10,20.58,18.11,-12.01,-3.90,-8.11,time_stop,7,1,15.53,0.97,0.52
A,ASAI3,2024-02-22,2024-02-23,2024-03-08,10,14.46,13.97,-3.42,-1.87,-1.55,time_stop,7,1,7.41,1.95,0.91
A,ASAI3,2024-03-08,2024-03-11,2024-03-25,10,13.87,14.08,1.54,0.71,0.83,time_stop,7,0,6.63,0.85,0.46
A,ASAI3,2025-05-02,2025-05-05,2025-05-09,4,9.09,9.54,5.00,2.22,2.78,take_profit,7,0,13.63,0.60,0.27
A,ASAI3,2025-06-03,2025-06-04,2025-06-18,10,11.84,10.89,-8.00,1.20,-9.20,time_stop,7,1,45.65,0.80,0.28
A,ASAI3,2025-07-18,2025-07-21,2025-08-04,10,9.62,9.73,1.13,-0.91,2.04,time_stop,7,1,20.09,1.60,0.35
A,ASAI3,2025-09-17,2025-09-18,2025-10-02,10,10.36,9.14,-11.81,-1.08,-10.73,time_stop,7,1,12.35,1.53,0.98
A,AURE3,2023-03-13,2023-03-14,2023-03-28,10,11.69,11.42,-2.34,-1.56,-0.79,time_stop,7,0,9.18,0.74,0.41
A,AURE3,2023-04-10,2023-04-11,2023-04-26,10,11.83,12.00,1.46,-3.79,5.25,time_stop,7,1,9.75,0.87,0.73
A,AURE3,2023-04-26,2023-04-27,2023-05-12,10,12.02,12.09,0.58,5.55,-4.96,time_stop,8,0,11.62,0.67,0.29
A,AURE3,2023-05-29,2023-05-30,2023-06-14,10,12.37,12.42,0.42,9.23,-8.81,time_stop,7,0,5.62,0.33,0.42
A,AURE3,2025-08-27,2025-08-28,2025-09-11,10,10.68,10.65,-0.28,1.19,-1.47,time_stop,7,0,11.24,0.96,0.33
A,AURE3,2025-09-11,2025-09-12,2025-09-26,10,10.58,10.37,-1.98,2.32,-4.31,time_stop,7,0,8.55,0.61,0.42
A,AURE3,2025-10-03,2025-10-06,2025-10-17,9,10.38,10.90,5.00,-0.19,5.19,take_profit,7,1,5.18,1.96,0.50
A,AURE3,2025-10-17,2025-10-20,2025-10-23,3,10.90,11.44,5.00,1.00,4.00,take_profit,7,1,11.36,1.68,0.68
A,AURE3,2025-10-28,2025-10-29,2025-11-06,6,11.06,11.61,5.00,3.30,1.70,take_profit,8,1,8.99,1.81,0.46
A,AURE3,2025-11-11,2025-11-12,2025-11-24,7,11.47,12.04,5.00,-1.35,6.35,take_profit,7,0,5.25,0.83,0.49
A,AURE3,2025-11-28,2025-12-01,2025-12-03,2,12.23,12.84,5.00,1.86,3.14,take_profit,7,0,10.30,0.69,0.34
A,AURE3,2025-12-03,2025-12-04,2025-12-18,10,12.89,12.08,-6.28,-3.99,-2.30,time_stop,8,1,13.47,0.69,0.34
A,AURE3,2025-12-18,2025-12-19,2026-01-08,10,12.05,11.52,-4.40,2.77,-7.17,time_stop,7,0,8.11,0.50,0.37
A,AXIA3,2022-04-07,2022-04-08,2022-04-13,3,35.03,36.78,5.00,-1.28,6.28,take_profit,7,2,5.76,2.18,0.56
A,AXIA3,2022-04-13,2022-04-14,2022-05-02,10,37.29,34.17,-8.38,-8.00,-0.38,time_stop,7,1,14.79,1.66,0.40
A,AXIA3,2022-05-25,2022-05-26,2022-06-09,10,39.36,37.64,-4.36,-4.02,-0.34,time_stop,7,1,25.41,1.21,0.31
A,AXIA3,2022-06-24,2022-06-27,2022-07-11,10,38.60,36.95,-4.28,-2.62,-1.66,time_stop,7,0,34.27,0.53,0.43
A,AXIA3,2022-07-22,2022-07-25,2022-08-04,8,39.17,41.13,5.00,5.92,-0.92,take_profit,7,0,30.71,0.50,0.35
A,AXIA3,2022-08-04,2022-08-05,2022-08-19,10,42.38,42.13,-0.60,4.66,-5.26,time_stop,7,1,29.81,1.64,0.43
A,AXIA3,2022-09-01,2022-09-02,2022-09-19,10,40.97,38.62,-5.74,1.06,-6.80,time_stop,7,0,17.64,0.89,0.37
A,AXIA3,2022-10-17,2022-10-18,2022-10-31,9,40.93,42.98,5.00,0.19,4.81,take_profit,7,1,8.44,1.74,0.60
A,AXIA3,2022-10-31,2022-11-01,2022-11-17,10,43.34,38.32,-11.58,-6.31,-5.27,time_stop,7,1,13.25,1.43,0.75
A,AXIA3,2022-11-24,2022-11-25,2022-12-09,10,40.78,37.32,-8.49,-1.11,-7.38,time_stop,8,0,7.67,0.44,0.34
A,AXIA3,2023-11-22,2023-11-23,2023-12-07,10,35.56,36.56,2.80,-0.48,3.28,time_stop,7,1,0.80,1.61,0.25
A,AXIA3,2023-12-07,2023-12-08,2023-12-22,10,36.44,36.95,1.38,4.57,-3.19,time_stop,7,0,3.61,0.39,0.34
A,AXIA3,2024-02-09,2024-02-14,2024-02-28,10,38.18,38.65,1.25,2.46,-1.21,time_stop,7,1,7.17,1.58,0.86
A,AXIA3,2024-02-28,2024-02-29,2024-03-14,10,38.53,38.73,0.53,-1.14,1.67,time_stop,8,0,5.87,0.67,0.29
A,AXIA3,2024-03-14,2024-03-15,2024-04-01,10,38.79,36.01,-7.17,0.34,-7.51,time_stop,7,1,7.88,1.65,0.78
A,AXIA3,2025-03-11,2025-03-12,2025-03-19,5,35.52,37.29,5.00,7.34,-2.34,take_profit,7,0,9.25,0.61,0.32
A,AXIA3,2025-03-24,2025-03-25,2025-04-08,10,38.09,37.45,-1.68,-6.20,4.52,time_stop,7,0,9.31,1.05,0.43
A,AXIA3,2025-04-30,2025-05-02,2025-05-16,10,40.64,38.97,-4.12,3.23,-7.36,time_stop,7,1,13.00,1.11,0.43
A,AXIA3,2025-05-30,2025-06-02,2025-06-16,10,39.41,38.91,-1.28,1.85,-3.12,time_stop,7,0,5.18,1.20,0.33
